"","TYPE","point","lon","lat"
"1325","restaurant/cafe",6,44.510383264342,40.183452372622
"1326","bank/atm",10,44.5107550770381,40.183857012172
"1327","bank/atm",10,44.510786518073,40.1838279133432
"1328","state institutions/NGO",4,44.5093855953874,40.184226717195
"1329","healthcare",10,44.5088832574806,40.1847695011863
"1330","pub/bar",4,44.50851000748,40.1850187589873
"1331","mall/shop(non-food)",14,44.5087742918366,40.1852334960446
"1332","restaurant/cafe",6,44.5096104437031,40.1846454209704
"1333","pub/bar",4,44.5094794693346,40.1847830209749
"1334","pub/bar",4,44.5093851462298,40.1851860741451
"1335","bank/atm",10,44.5099151522474,40.1844448881947
"1336","supermarket/shop(food)",10,44.5099433593474,40.1844461921401
"1337","pub/bar",4,44.5104092256537,40.1845083010872
"1338","mall/shop(non-food)",14,44.5107019866048,40.1839123959932
"1339","state institutions/NGO",4,44.5104651906959,40.1840916553374
"1340","supermarket/shop(food)",10,44.5105101064601,40.1840635860456
"1341","mall/shop(non-food)",14,44.5107575024894,40.1841977557827
"1342","restaurant/cafe",6,44.5105899666889,40.1843556021925
"1343","cinema/theatre/museum",6,44.5101901265559,40.1850501906604
"1344","pub/bar",4,44.5104246766766,40.1848972184724
"1345","pub/bar",4,44.5107071968335,40.1851173089005
"1346","mall/shop(non-food)",14,44.5070419806427,40.185639977913
"1347","pub/bar",4,44.5079198143384,40.1858495659578
"1348","restaurant/cafe",6,44.5075869885256,40.1860894178864
"1349","supermarket/shop(food)",10,44.5076964931587,40.1861627115254
"1350","bank/atm",10,44.5078415710771,40.1863220631527
"1351","supermarket/shop(food)",10,44.5079001412336,40.1863762783067
"1352","healthcare",10,44.5065610226396,40.1877236139026
"1353","pub/bar",4,44.5090823241475,40.1854061636359
"1354","bank/atm",10,44.5085593249891,40.1865151787059
"1355","restaurant/cafe",6,44.5104697721039,40.1853163985042
"1356","restaurant/cafe",6,44.5110612228869,40.185401771461
"1357","pub/bar",4,44.5110472091685,40.1857779876643
"1358","restaurant/cafe",6,44.5100060617542,40.186605697143
"1359","restaurant/cafe",6,44.5084936581419,40.1867800769001
"1360","restaurant/cafe",6,44.5087001808257,40.1869119765996
"1361","restaurant/cafe",6,44.508811751584,40.1869935731115
"1362","restaurant/cafe",6,44.5088787659042,40.1870326213655
"1363","pub/bar",4,44.509023753991,40.187124168502
"1364","restaurant/cafe",6,44.5110242122972,40.186814390062
"1365","healthcare",10,44.5097977424398,40.1875355800827
"1366","pub/bar",4,44.5099494678913,40.1875751084035
"1367","restaurant/cafe",6,44.5101184409962,40.1873579082316
"1368","restaurant/cafe",6,44.5102020741492,40.1874012110702
"1369","bank/atm",10,44.5106844694568,40.187457758634
"1370","pub/bar",4,44.5110033713826,40.1876549198559
"1371","pub/bar",4,44.5121988493627,40.1828715569191
"1372","pub/bar",4,44.5111717156669,40.1835405617391
"1373","bank/atm",10,44.5111789920207,40.1835739843551
"1374","bank/atm",10,44.5112462758354,40.1835291692215
"1375","supermarket/shop(food)",10,44.511208456762,40.1835783766483
"1376","restaurant/cafe",6,44.5127085534549,40.182808966061
"1377","restaurant/cafe",6,44.5127294842011,40.1830062094249
"1378","pub/bar",4,44.5129709513494,40.1835319144066
"1379","supermarket/shop(food)",10,44.5129970024927,40.1835343850731
"1380","restaurant/cafe",6,44.5134873029747,40.1836704774826
"1381","restaurant/cafe",6,44.5138095286672,40.1838237955834
"1382","post_office",3,44.512199747678,40.184418877911
"1383","bus_stop",4,44.5124116602535,40.1846662840314
"1384","restaurant/cafe",6,44.5125172122994,40.1845584686042
"1385","bank/atm",10,44.5125651823356,40.1847395792081
"1386","School/kindergarten",7,44.5126753157894,40.184795785849
"1387","bus_stop",4,44.5126351610962,40.1852285548352
"1388","bank/atm",10,44.5129346594119,40.1850258963117
"1389","bank/atm",10,44.5131611246951,40.1852148978795
"1390","mall/shop(non-food)",14,44.513840790039,40.1848692867705
"1391","bank/atm",10,44.5132634428059,40.1852291038585
"1392","mall/shop(non-food)",14,44.5134663722286,40.1850981616792
